key,company,team,num_female_eng,num_eng,percent_female_eng,last_updated,Submit more data!,https://github.com/triketora/women-in-software-eng
all,ALL,N/A,565,4528,12.48,4/14/2014,,
mozilla,Mozilla,N/A,43,500,8.60,10/23/2013,,
qualcommaustin,Qualcomm,"Austin, TX office",15,271,5.54,10/24/2013,,
yelp,Yelp,Engineering,17,206,8.25,1/13/2014,,
github,GitHub,N/A,10,160,6.25,10/26/2013,,
newrelic,New Relic,N/A,30,151,19.87,10/23/2013,,
etsy,Etsy,N/A,19,149,12.75,10/23/2013,,
dropbox,Dropbox,N/A,9,143,6.29,10/12/2013,,
guidewirefostercity,Guidewire Software,Foster City office,21,122,17.21,10/31/2013,,
pinterest,Pinterest,N/A,16,117,13.68,2/5/2014,,
quantcast,Quantcast,N/A,15,112,13.39,10/23/2013,,
foursquare,foursquare,N/A,6,85,7.06,11/13/2013,,
airbnb,Airbnb,N/A,10,76,13.16,10/23/2013,,
rhapsody,Rhapsody,N/A,14,76,18.42,10/24/2013,,
wikimedia,Wikimedia Foundation,N/A,5,74,6.76,2/25/2014,,
practicefusion,Practice Fusion,N/A,12,72,16.67,12/2/2013,,
hubspot,HubSpot,N/A,4,65,6.15,11/11/2013,,
flipboard,Flipboard,N/A,6,60,10.00,10/23/2013,,
rdio,Rdio,N/A,9,56,16.07,10/23/2013,,
capsher,Capsher Technology,N/A,4,55,7.27,11/27/2013,,
elemental,Elemental Technologies,N/A,6,55,10.91,11/8/2013,,
surveymonkey,SurveyMonkey,N/A,9,52,17.31,1/15/2014,,
monetate,Monetate,N/A,8,48,16.67,10/23/2013,,
thoughtbot,thoughtbot,N/A,5,45,11.11,10/26/2013,,
perforce,Perforce,N/A,6,45,13.33,11/26/2013,,
edmodo,Edmodo,N/A,1,45,2.22,11/12/2013,,
zendesk,Zendesk,N/A,8,45,17.78,10/24/2013,,
flickr,Yahoo,Flickr,4,42,9.52,10/28/2013,,
hootsuite,HootSuite,N/A,6,41,14.63,10/22/2013,,
redfin,Redfin,N/A,9,41,21.95,1/27/2014,,
simplymeasured,Simply Measured,N/A,6,35,17.14,4/14/2014,,
quora,Quora,N/A,4,35,11.43,10/31/2013,,
theladders,TheLadders,N/A,6,35,17.14,10/25/2013,,
manilla,"Manilla, LLC",N/A,10,32,31.25,11/27/2013,,
venmo,Venmo,N/A,5,32,15.62,10/23/2013,,
renttherunway,Rent the Runway,N/A,7,32,21.88,10/13/2013,,
shoplocal,Shoplocal,N/A,5,31,16.13,3/6/2014,,
activision,Activision,N/A,1,30,3.33,10/25/2013,,
nextdoor,Nextdoor,N/A,0,29,0.00,11/20/2013,,
paperlesspost,Paperless Post,N/A,4,28,14.29,12/3/2013,,
stripe,Stripe,N/A,3,28,10.71,10/24/2013,,
medium,Medium,N/A,7,27,25.93,3/25/2014,,
freshbooks,FreshBooks.com,N/A,5,25,20.00,11/26/2013,,
cognitect,Cognitect,N/A,2,25,8.00,3/24/2014,,
causes,Causes.com,N/A,2,25,8.00,11/7/2013,,
learnist,Learnist,N/A,1,25,4.00,10/23/2013,,
goodreads,Goodreads,N/A,5,25,20.00,11/12/2013,,
khanacademy,Khan Academy,N/A,6,24,25.00,10/23/2013,,
kiva,Kiva,N/A,3,24,12.50,10/25/2013,,
coursera,Coursera,N/A,2,24,8.33,10/22/2013,,
orbistechnologies,Orbis Technologies,N/A,4,24,16.67,10/24/2013,,
changeorg,"Change.org, Inc.",N/A,3,24,12.50,10/31/2013,,
hearsaysocial,Hearsay Social,N/A,4,23,17.39,10/23/2013,,
disqus,Disqus,N/A,2,23,8.70,10/25/2013,,
stackexchange,Stack Exchange,N/A,0,23,0.00,11/11/2013,,
waveapps,Wave Apps,N/A,5,23,21.74,2/24/2014,,
omniti,OmniTI,N/A,5,22,22.73,10/25/2013,,
7digital,7digital,N/A,1,21,4.76,11/13/2013,,
kanjoya,Kanjoya,N/A,4,21,19.05,10/25/2013,,
bitly,Bitly,N/A,1,21,4.76,11/5/2013,,
sunrun,Sunrun,N/A,6,21,28.57,11/7/2013,,
asana,Asana,N/A,3,21,14.29,10/23/2013,,
37signals,37signals,N/A,0,20,0.00,10/24/2013,,
fogcreek,Fog Creek Software,N/A,0,20,0.00,3/14/2014,,
howaboutwe,HowAboutWe,N/A,4,20,20.00,10/24/2013,,
treehouse,Treehouse,N/A,2,19,10.53,4/14/2014,,
shopkick,shopkick,N/A,2,19,10.53,10/24/2013,,
reverb,Reverb,N/A,2,18,11.11,11/7/2013,,
tapad,Tapad,N/A,1,17,5.88,1/31/2014,,
versal,Versal,N/A,3,16,18.75,10/20/2013,,
indiegogo,Indiegogo,N/A,4,16,25.00,2/6/2014,,
refinery29,Refinery29,N/A,4,15,26.67,2/5/2014,,
thredup,thredUP,N/A,5,15,33.33,10/23/2013,,
selerity,Selerity,N/A,2,15,13.33,12/10/2013,,
wanelo,Wanelo,N/A,3,15,20.00,11/12/2013,,
hipmunk,Hipmunk,N/A,0,15,0.00,10/23/2013,,
harvest,Harvest,N/A,0,15,0.00,12/12/2013,,
parse,Facebook,Parse,2,15,13.33,10/23/2013,,
highfive,Highfive,N/A,3,14,21.43,10/23/2013,,
collectiveidea,Collective IDea,N/A,0,14,0.00,4/2/2014,,
reddit,Reddit,N/A,2,14,14.29,10/12/2013,,
stackmob,StackMob,N/A,0,14,0.00,10/24/2013,,
wealthfront,Wealthfront,N/A,4,13,30.77,10/23/2013,,
snapchat,Snapchat,N/A,2,13,15.38,10/24/2013,,
optimizely,Optimizely,N/A,1,12,8.33,10/22/2013,,
radius,Radius.com,N/A,3,12,25.00,11/1/2013,,
gamechanger,GameChanger.io,N/A,1,12,8.33,11/1/2013,,
mylikes,MyLikes,N/A,2,12,16.67,11/12/2013,,
bendyworks,Bendyworks,N/A,4,11,36.36,3/31/2014,,
inductiveautomation,Inductive Automation,N/A,1,10,10.00,11/26/2013,,
noise,noise,N/A,2,10,20.00,10/23/2013,,
scilearn,Scientific Learning,N/A,5,10,50.00,2/28/2014,,
creativelive,creativeLIVE,N/A,0,10,0.00,11/11/2013,,
pearson,Pearson College,APEX/Ferrari,4,9,44.44,10/23/2013,,
codecademy,Codecademy,N/A,0,9,0.00,10/22/2013,,
topix,Topix,N/A,0,9,0.00,10/22/2013,,
meteor,Meteor,N/A,3,9,33.33,11/7/2013,,
webkite,Webkite,N/A,4,9,44.44,4/11/2014,,
clever,Clever,N/A,1,8,12.50,12/14/2013,,
squareroot,square-root.com,N/A,2,8,25.00,10/24/2013,,
ivycorp,Ivycorp,N/A,2,7,28.57,11/11/2013,,
doxo,doxo,N/A,0,7,0.00,11/20/2013,,
datascopeanalytics,Datascope Analytics,N/A,2,7,28.57,10/24/2013,,
findery,Findery,N/A,2,7,28.57,3/24/2014,,
hackerschool,Hacker School,N/A,2,7,28.57,10/24/2013,,
flatironhealth,Flatiron Health,N/A,1,7,14.29,10/21/2013,,
checkout51,Checkout 51,N/A,0,6,0.00,11/8/2013,,
